State,Action,Q_Value
"(False, False, False, False, False, False, False, False, True, False, True, False)",WEST,53.04801472683505
"(False, False, False, False, False, False, False, False, True, False, True, False)",SOUTH,89.69420332108928
"(False, False, False, False, False, False, False, False, False, False, True, True)",SOUTH,46.11859355222717
"(False, False, False, False, False, False, False, False, False, True, False, True)",WEST,207.74361028959743
"(False, False, True, False, False, False, False, False, False, True, False, True)",WEST,113.77300053655324
"(False, False, False, False, False, False, False, False, False, True, False, True)",EAST,59.160676754712476
"(False, False, False, False, True, False, False, False, False, False, True, True)",EAST,140.83701548168514
"(False, False, False, False, True, False, False, False, True, False, True, True)",NORTH,17.398909796083743
"(False, False, True, False, False, False, False, False, False, True, False, False)",WEST,125.09474105047263
"(False, False, False, False, False, False, False, False, False, True, False, False)",WEST,190.0324823553708
"(False, False, False, False, False, False, False, False, False, True, False, False)",SOUTH,148.24232244039032
"(False, False, False, False, False, False, False, False, False, False, True, False)",WEST,186.42888139972476
"(False, False, False, False, False, False, False, False, True, True, False, False)",EAST,43.995754578372484
"(False, False, False, False, True, False, False, False, True, True, True, False)",WEST,0.0
"(False, False, False, False, True, False, False, False, False, True, False, False)",SOUTH,162.60210152289028
"(False, False, False, False, False, False, False, False, False, True, True, False)",NORTH,58.74736479199706
"(False, False, False, False, False, False, False, False, True, False, False, True)",SOUTH,71.11493358762323
"(False, False, False, False, False, False, False, False, True, False, False, True)",NORTH,148.47878426489643
"(False, False, False, False, False, False, False, False, False, False, False, True)",WEST,111.9653507170277
"(False, False, False, False, False, False, False, False, False, True, False, True)",SOUTH,49.13919796637879
"(False, False, False, False, False, False, False, False, False, True, False, False)",NORTH,148.0876457775581
"(False, False, False, False, False, False, False, False, False, True, False, True)",NORTH,148.08307719521156
"(False, False, False, False, False, False, False, False, False, False, False, True)",EAST,139.27092427710693
"(False, False, False, False, False, False, False, False, True, False, False, False)",EAST,110.59249882402955
"(False, False, True, False, False, False, False, False, True, False, False, False)",NORTH,9.81
"(False, False, True, False, False, False, False, False, False, False, False, True)",WEST,149.59556951384334
"(False, False, False, False, False, False, False, False, False, False, False, True)",NORTH,161.41924166305205
"(False, False, False, False, True, False, False, False, False, False, False, True)",NORTH,161.01220520927856
"(False, False, False, False, False, False, False, False, False, False, False, True)",SOUTH,36.694972345725105
"(False, False, False, False, False, False, False, False, False, False, True, False)",NORTH,67.8185689088294
"(False, False, False, False, False, False, False, False, True, False, False, True)",EAST,168.4946783474411
"(False, False, False, False, False, False, False, False, True, False, False, False)",WEST,27.962853108883955
"(False, False, False, False, False, False, False, False, True, False, False, True)",WEST,73.91406806343154
"(False, False, False, False, False, False, False, False, False, False, True, False)",EAST,148.96024083899934
"(False, False, False, False, False, False, False, False, True, False, True, False)",EAST,163.79051597446804
"(False, False, True, False, False, False, False, False, True, False, False, True)",SOUTH,81.21109621894718
"(False, False, False, False, False, False, False, False, True, True, False, True)",WEST,31.686692428498414
"(False, False, False, False, False, False, False, False, False, False, True, True)",WEST,82.83893978545953
"(False, False, False, False, False, False, False, False, False, True, True, True)",EAST,-16.198752190505623
"(False, False, False, False, False, False, False, False, True, True, False, True)",SOUTH,39.47729585982554
"(False, False, False, False, False, False, False, False, False, True, True, False)",WEST,113.1372247211366
"(False, False, False, False, False, False, False, False, True, True, False, True)",NORTH,168.02272448929773
"(False, False, False, False, False, False, False, False, False, False, True, True)",EAST,155.0400546913783
"(False, False, True, False, False, False, True, False, True, True, False, False)",EAST,6.856922841835078
"(False, False, False, False, False, False, False, False, True, False, False, False)",SOUTH,136.6129288769207
"(False, False, False, False, False, False, False, False, False, False, True, False)",SOUTH,148.16395712135136
"(True, False, False, False, False, False, False, False, False, False, True, False)",EAST,36.32790612722047
"(True, False, False, False, False, False, False, False, True, False, False, False)",WEST,0.0
"(False, False, False, False, False, False, True, False, True, False, False, False)",WEST,-1.0706782396469698
"(False, False, False, False, False, False, False, False, True, False, False, False)",NORTH,161.72820229740847
"(False, False, False, False, False, False, False, False, True, True, False, False)",SOUTH,162.26630012673326
"(False, False, False, False, False, False, False, False, False, True, True, False)",SOUTH,192.3265357575878
"(True, False, False, False, False, False, False, False, False, False, True, False)",WEST,174.53950847746015
"(False, False, True, False, False, False, False, False, True, True, True, True)",NORTH,-20.0
"(False, False, True, False, False, False, False, False, True, False, True, True)",WEST,0.0
"(False, False, False, False, False, False, False, False, False, True, True, True)",NORTH,-28.92697862616071
"(False, False, True, False, False, False, False, False, False, False, True, True)",SOUTH,0.0
"(True, False, False, False, False, False, False, False, True, False, False, False)",NORTH,9.9
"(True, False, False, False, False, False, False, False, True, False, False, True)",SOUTH,6.7475626929779
"(False, False, False, False, False, False, False, False, True, True, False, True)",EAST,50.82084572208318
"(True, False, False, False, False, False, False, False, False, False, True, True)",SOUTH,-7.373513273983566
"(False, False, False, False, False, False, False, False, False, True, True, True)",SOUTH,-16.460791941307377
"(False, False, False, False, False, False, False, False, True, True, False, False)",NORTH,86.1547634927382
"(False, False, False, False, False, False, False, False, False, True, True, True)",WEST,199.32638404459226
"(False, False, True, False, False, False, False, False, True, False, False, False)",WEST,-36.71853134043073
"(False, False, False, False, False, False, True, False, True, False, True, False)",EAST,151.6112389218539
"(False, False, True, False, False, False, False, False, True, True, False, True)",SOUTH,15.971499811277448
"(False, False, False, False, False, False, False, False, True, True, True, False)",NORTH,33.15678338861795
"(False, False, True, False, False, False, False, False, True, False, False, True)",WEST,49.7916307895174
"(False, False, False, False, False, False, False, False, False, True, True, False)",EAST,62.91451208105234
"(False, False, False, False, True, False, False, False, False, True, False, True)",EAST,0.0
"(False, False, True, False, True, False, False, False, True, True, True, False)",WEST,0.0
"(False, False, True, False, False, False, False, False, True, True, True, False)",WEST,0.0
"(False, False, False, False, False, False, False, False, True, True, False, False)",WEST,42.30537020588163
"(False, False, False, False, False, False, True, False, True, False, True, False)",SOUTH,10.438828774212967
"(False, False, False, False, False, False, True, False, False, False, True, False)",WEST,9.912074
"(False, False, False, False, False, False, False, False, False, True, False, False)",EAST,68.13879048288608
"(True, False, False, False, False, False, True, False, False, False, False, True)",WEST,48.29690313578256
"(False, False, True, False, False, False, False, False, True, True, False, False)",SOUTH,27.3288022646884
"(False, False, True, False, False, False, False, False, False, True, True, True)",NORTH,-9.0
"(False, False, False, False, False, False, False, False, False, False, True, True)",NORTH,57.551301401507516
"(False, False, False, False, True, False, False, False, False, False, True, False)",NORTH,19.031202812443716
"(False, False, False, False, False, False, False, False, True, False, True, True)",NORTH,59.3389829111336
"(True, False, False, False, False, False, False, False, True, False, True, False)",NORTH,4.1031843237494545
"(False, False, True, False, False, False, False, False, False, False, True, False)",SOUTH,9.81
"(False, False, True, False, False, False, False, False, False, False, True, False)",WEST,9.961660598654001
"(False, False, False, False, False, False, True, False, True, False, False, True)",EAST,189.23051972762886
"(False, False, False, False, False, False, False, False, True, False, True, False)",NORTH,57.30793690788731
"(False, False, False, False, False, False, False, False, True, True, True, False)",WEST,23.861129111777654
"(True, False, False, False, False, False, False, False, False, True, False, True)",NORTH,148.14827888143213
"(False, False, False, False, True, False, False, False, False, True, False, True)",SOUTH,0.0
"(False, False, True, False, False, False, False, False, True, False, False, False)",SOUTH,15.886229164912669
"(True, False, False, False, False, False, False, False, False, False, True, False)",NORTH,12.994949691123658
"(False, False, False, False, False, False, False, False, True, False, True, True)",SOUTH,44.57143418575019
"(False, False, False, False, False, False, False, False, True, False, True, True)",WEST,61.16916947845816
"(True, False, False, False, False, False, False, False, False, False, True, True)",NORTH,16.87642454609361
"(False, False, True, False, True, False, False, False, True, False, False, False)",NORTH,9.9
"(True, False, True, False, False, False, False, False, True, False, False, True)",NORTH,231.53312213479788
"(False, False, False, False, True, False, False, False, True, False, False, False)",SOUTH,17.771287871397217
"(False, False, False, False, True, False, False, False, False, False, False, True)",SOUTH,-8.970153051590987
"(False, False, False, False, False, False, True, False, False, False, True, False)",NORTH,0.0
"(False, False, False, False, True, False, False, False, False, False, True, False)",EAST,10.055828994626998
"(False, False, False, False, True, False, False, False, True, False, False, False)",NORTH,160.82584251159443
"(False, False, False, False, True, False, False, False, True, False, True, False)",EAST,9.9
"(True, False, False, False, False, False, False, False, False, True, True, False)",SOUTH,188.9487732336591
"(False, False, True, False, False, False, False, False, False, True, False, True)",EAST,39.30373351287851
"(False, False, True, False, False, False, False, False, False, True, False, False)",SOUTH,33.85901358712316
"(False, False, True, False, False, False, False, False, False, True, True, False)",WEST,9.9
"(False, False, True, False, False, False, False, False, False, True, False, False)",NORTH,217.7621807539636
"(False, False, True, False, False, False, False, False, False, True, False, True)",NORTH,218.80798094516894
"(False, False, True, False, False, False, False, False, False, True, False, False)",EAST,11.641145097402001
