State,Action,Q_Value
"(False, False, False, False, False, False, False, False, True, False, False, True)",EAST,-0.8994511128920731
"(False, False, False, False, False, False, False, False, True, False, False, False)",SOUTH,-1.3377615356009775
"(False, False, False, False, False, False, False, False, False, False, True, False)",SOUTH,-0.24036422203334504
"(False, False, False, False, False, False, False, False, False, False, True, False)",WEST,0.005440926529884534
"(False, False, False, False, False, False, False, False, False, True, False, False)",SOUTH,-0.31672556861723206
"(False, False, False, False, False, False, False, False, False, True, False, False)",NORTH,-0.16856370710939017
"(False, False, False, False, False, False, False, False, False, True, False, True)",SOUTH,-14.454327759204322
"(False, False, False, False, False, False, False, False, True, True, True, True)",SOUTH,-104.59768114611106
"(False, False, False, False, True, False, False, False, True, False, False, True)",WEST,-5.904195864056659
"(False, False, False, False, True, False, False, False, True, False, True, False)",NORTH,-9.20277225986284
"(False, False, False, False, False, False, False, False, False, False, True, False)",NORTH,-14.775500340682576
"(False, False, False, False, False, False, False, False, False, False, True, True)",NORTH,-14.941569452845158
"(False, False, False, False, False, False, False, False, False, True, True, False)",SOUTH,-0.5311705228842214
"(False, False, False, False, False, False, False, False, True, False, False, False)",WEST,-14.7649274990784
"(False, False, True, False, False, False, False, False, False, False, False, False)",NORTH,-1.5
"(False, False, False, False, False, False, False, False, True, True, True, False)",SOUTH,-0.05056399801268223
"(False, False, False, False, True, False, False, False, False, True, True, False)",SOUTH,0.9345805073732819
"(False, False, False, False, False, False, False, False, False, True, True, False)",NORTH,-14.40894293818315
"(False, False, False, False, False, False, False, False, False, True, False, True)",EAST,-14.525298418270923
"(False, False, False, False, False, False, True, False, False, True, True, False)",NORTH,-2.7604033687151484
"(False, False, False, False, True, False, False, False, False, False, True, False)",NORTH,-5.119709611041812
"(False, False, False, False, True, False, False, False, True, True, False, True)",NORTH,-0.22716390998944835
"(False, False, False, False, False, False, False, False, True, True, False, True)",NORTH,0.1074638935056667
"(False, False, False, False, False, False, False, False, False, True, False, True)",WEST,0.03687658702646514
"(False, False, False, False, False, False, False, False, False, False, False, True)",WEST,-0.21646357287206924
"(False, False, False, False, False, False, False, False, False, True, True, False)",EAST,-14.681206240176571
"(False, False, False, False, False, False, False, False, False, True, False, False)",EAST,-14.86377358883495
"(False, False, False, False, True, False, False, False, False, False, True, True)",EAST,0.29176862170265516
"(False, False, False, False, True, False, False, False, True, False, True, False)",WEST,-10.260045251676502
"(False, False, False, False, False, False, False, False, False, True, False, True)",NORTH,1.7345937514621759
"(False, False, False, False, False, False, False, False, False, False, False, True)",SOUTH,-14.652898686193426
"(False, False, False, False, False, False, False, False, True, False, True, False)",WEST,-14.8889288108406
"(False, False, True, False, False, False, False, False, True, False, True, False)",WEST,-2.811964909728614
"(False, False, False, False, False, False, False, False, True, False, False, False)",NORTH,-0.06086307850297788
"(False, False, False, False, False, False, False, False, False, False, False, True)",EAST,-0.3817398766796468
"(False, False, False, False, False, False, False, False, False, False, False, True)",NORTH,-0.052624418204338386
"(False, False, False, False, False, False, False, False, False, True, True, False)",WEST,-0.043063453253515384
"(False, False, False, False, False, False, False, False, True, True, False, False)",WEST,-14.88569565291718
"(False, False, False, False, False, False, False, False, True, True, False, False)",SOUTH,-0.045612878819959755
"(False, False, False, False, False, False, False, False, True, False, False, True)",WEST,-14.851426596203332
"(False, False, True, False, False, False, False, False, True, False, False, True)",EAST,-1.1656428887870476
"(True, False, False, False, False, False, False, False, False, False, False, True)",WEST,8.41912819465693
