State,Action,Q_Value
"(False, False, False, False, False, False, False, False, True, True, True, True)",WEST,-1199.9
"(False, False, False, False, False, False, False, False, True, False, False, False)",NORTH,177.55745020109254
"(False, False, False, False, False, False, False, False, True, False, False, True)",EAST,236.5700325196603
"(True, False, False, False, False, False, False, False, False, False, False, True)",SOUTH,12.801702880665964
"(False, False, False, False, False, False, False, False, False, True, False, True)",NORTH,175.6650118224944
"(True, False, False, False, False, False, False, False, False, True, False, True)",NORTH,114.05427558410847
"(False, False, False, False, False, False, False, False, False, True, False, True)",WEST,124.78560005222771
"(False, False, False, False, False, False, False, False, False, True, False, False)",SOUTH,184.50896780938365
"(False, False, False, False, False, False, False, False, False, True, True, False)",NORTH,86.65389481069818
"(False, False, False, False, False, False, False, False, False, True, False, False)",NORTH,174.29166170937506
"(False, False, False, False, False, False, False, False, False, True, False, True)",SOUTH,71.18393052511666
"(False, False, False, False, False, False, False, False, False, False, False, True)",NORTH,223.6766572572547
"(True, False, False, False, False, False, False, False, False, False, False, True)",NORTH,42.99894501076064
"(False, False, False, False, False, False, False, False, False, False, False, True)",SOUTH,83.95980038330485
"(False, False, False, False, False, False, False, False, False, True, False, True)",EAST,72.16693551567943
"(False, False, False, False, False, False, False, False, True, False, False, False)",SOUTH,235.99515526181247
"(False, False, False, False, False, False, False, False, False, False, True, False)",NORTH,50.481140838482816
"(True, False, True, False, False, False, False, False, False, False, False, True)",NORTH,9.9
"(False, False, True, False, False, False, False, False, False, False, False, True)",NORTH,255.5893550618017
"(False, False, True, False, False, False, False, False, False, False, False, True)",SOUTH,122.24107045493078
"(False, False, False, False, False, False, False, False, True, True, False, False)",NORTH,48.60852570779427
"(False, False, False, False, False, False, False, False, True, True, False, True)",NORTH,194.3275575304141
"(False, False, False, False, False, False, False, False, False, True, False, False)",EAST,93.42923142304679
"(False, False, False, False, False, False, True, False, False, True, False, False)",NORTH,39.08875832052255
"(True, False, False, False, False, False, False, False, False, False, False, True)",EAST,38.05753684185141
"(True, False, False, False, False, False, False, False, True, False, False, False)",NORTH,9.61924182382482
"(True, False, False, False, False, False, False, False, False, False, False, True)",WEST,258.19136950381926
"(True, False, False, False, False, False, False, False, False, True, False, False)",NORTH,196.24292229530175
"(False, False, False, False, False, False, False, False, False, False, False, True)",EAST,151.56120952951005
"(False, False, False, False, False, False, False, False, True, False, False, False)",EAST,169.68111053102058
"(False, False, False, False, False, False, False, False, True, False, False, False)",WEST,94.79326641475915
"(False, False, False, False, False, False, False, False, False, False, True, True)",NORTH,33.904585203820645
"(False, False, False, False, False, False, False, False, False, True, True, False)",SOUTH,113.95942822705423
"(False, False, False, False, False, False, False, False, False, False, True, False)",SOUTH,147.5659033955435
"(False, False, False, False, False, False, False, False, False, False, True, False)",EAST,234.67223001993196
"(False, False, False, False, False, False, False, False, True, True, False, False)",SOUTH,202.7523284760445
"(True, False, False, False, True, False, False, False, False, True, True, False)",NORTH,0.0
"(False, False, False, False, False, False, False, False, False, False, False, True)",WEST,162.2404281861964
"(False, False, False, False, False, False, True, False, False, True, False, True)",NORTH,24.6704387114228
"(True, False, False, False, False, False, True, False, False, False, False, True)",NORTH,8.49
"(False, False, False, False, False, False, False, False, False, False, True, False)",WEST,149.3079419259806
"(False, False, False, False, False, False, False, False, False, True, False, False)",WEST,203.02869579956803
"(True, False, False, False, False, False, False, False, False, False, True, False)",NORTH,6.643753934580483
"(False, False, False, False, False, False, False, False, True, False, True, False)",NORTH,101.35238146630434
"(False, False, False, False, False, False, False, False, True, False, True, False)",SOUTH,186.83271816647098
"(False, False, False, False, False, False, False, False, False, True, True, False)",EAST,79.34540671209389
"(True, False, True, False, False, False, False, False, True, False, False, True)",NORTH,86.61635933162023
"(False, False, True, False, False, False, False, False, False, False, False, True)",EAST,203.27060975062003
"(False, False, False, False, False, False, False, False, True, True, False, False)",EAST,36.898282309079114
"(False, False, False, False, False, False, False, False, False, True, True, False)",WEST,204.54799769150668
"(False, False, True, False, False, False, False, False, False, True, False, False)",NORTH,251.77484685233821
"(False, False, True, False, False, False, False, False, False, True, False, True)",NORTH,265.2298384525181
"(False, False, True, False, False, False, False, False, False, False, False, True)",WEST,193.79852880079056
"(False, False, False, False, False, False, False, False, True, True, False, False)",WEST,38.020531797523226
"(False, False, False, False, False, False, False, False, True, False, False, True)",NORTH,90.1873027609097
"(False, False, False, False, False, False, False, False, True, False, False, True)",SOUTH,91.11710976570458
"(False, False, False, False, False, False, False, False, False, False, True, True)",SOUTH,46.927775973873196
"(False, False, False, False, False, False, False, False, False, True, True, True)",NORTH,-121.96384877806145
"(True, False, True, False, False, False, True, False, True, False, False, False)",NORTH,9.9
"(False, False, True, False, False, False, True, False, False, False, False, True)",NORTH,40.64031804047781
"(False, False, True, False, False, False, True, False, False, False, False, True)",SOUTH,0.0
"(False, False, False, False, False, False, False, False, False, True, True, True)",SOUTH,-131.9339992994358
"(False, False, True, False, False, False, False, False, False, True, False, False)",SOUTH,73.7485043350061
"(False, False, True, False, False, False, False, False, False, False, True, False)",NORTH,0.0
"(False, False, False, False, False, False, False, False, True, False, False, True)",WEST,95.18539044471224
"(False, False, False, False, False, False, False, False, False, False, True, True)",EAST,227.01674774178352
"(False, False, False, False, False, False, False, False, True, True, True, True)",NORTH,-1209.0000000000002
"(False, False, False, False, False, False, False, False, True, True, False, True)",SOUTH,-140.07669603160863
"(False, False, False, False, False, False, False, False, False, False, True, True)",WEST,60.2755877524109
"(False, False, False, False, False, False, False, False, True, True, True, True)",SOUTH,-1199.0000000000002
"(False, False, False, False, False, False, False, False, True, True, True, False)",NORTH,-37.250464902557184
"(False, False, False, False, False, False, False, False, True, False, True, False)",EAST,229.83529496137572
"(False, False, False, False, False, False, False, False, True, False, True, False)",WEST,104.31737388626493
"(True, False, True, False, False, False, False, False, False, True, True, False)",NORTH,0.0
"(True, False, False, False, False, False, False, False, False, True, True, False)",NORTH,109.2752840922079
"(False, False, False, False, False, False, False, False, True, True, True, False)",SOUTH,214.19371506415592
"(False, False, True, False, False, False, False, False, False, True, False, False)",EAST,14.84699316886619
"(False, False, True, False, False, False, False, False, False, True, True, False)",NORTH,0.0
"(False, False, False, False, False, False, False, False, True, False, True, True)",NORTH,-132.03105741554788
"(True, False, False, False, False, False, False, False, False, False, True, False)",SOUTH,45.921732315025054
"(False, False, False, False, True, False, False, False, False, False, True, False)",NORTH,0.0
"(False, False, False, False, False, False, False, False, True, True, True, False)",EAST,-92.4021082736623
"(True, False, False, False, False, False, False, False, False, True, False, True)",SOUTH,61.16971095104173
"(True, False, False, False, False, False, False, False, True, False, True, False)",NORTH,6.640090400857532
"(True, False, False, False, False, False, False, False, False, False, True, False)",EAST,49.658239573077054
"(True, False, False, False, False, False, False, False, True, False, False, False)",SOUTH,203.70753182121604
"(False, False, False, False, False, False, True, False, True, True, False, True)",NORTH,160.4353062710436
"(True, False, False, False, False, False, True, False, True, True, False, True)",NORTH,9.9
"(False, False, False, False, False, False, True, False, False, True, False, True)",SOUTH,14.659792613566673
"(False, False, True, False, False, False, False, False, True, False, False, False)",NORTH,252.18548699769525
"(False, False, False, False, False, False, True, False, True, False, False, False)",NORTH,55.570950368641775
"(False, False, False, False, False, False, True, False, True, False, False, True)",SOUTH,20.494620547942258
"(False, False, False, False, False, False, False, False, True, True, True, False)",WEST,-67.85134011161298
"(False, False, True, False, False, False, False, False, False, True, True, False)",SOUTH,9.9
"(False, False, True, False, False, False, False, False, False, False, True, False)",SOUTH,9.9
"(False, False, True, False, False, False, False, False, False, False, True, False)",EAST,180.3316023570686
"(True, False, False, False, False, False, False, False, False, True, True, False)",SOUTH,140.72471638156472
"(False, False, True, False, False, False, False, False, False, True, False, False)",WEST,59.331034524836454
"(True, False, False, False, False, False, False, False, True, False, True, False)",SOUTH,9.902048774911965
"(True, False, False, False, False, False, False, False, True, True, False, True)",NORTH,175.37021469735248
