State,Action,Q_Value
"(False, False, False, False, False, False, False, False, False, True, True, False)",UP,0.0
"(False, False, False, False, False, False, False, False, True, False, True, True)",RIGHT,9.9
"(False, False, False, False, False, False, False, False, True, False, True, False)",RIGHT,9.9
"(False, False, False, False, False, False, False, False, True, False, True, False)",DOWN,9.9
"(False, False, False, False, False, False, False, False, False, False, True, False)",DOWN,9.9
"(False, False, False, False, False, False, False, False, False, False, True, False)",RIGHT,9.9
"(False, False, False, False, False, False, False, False, True, False, False, False)",LEFT,-9.0
"(False, False, False, False, False, False, False, False, True, False, False, True)",UP,9.9
"(False, False, False, False, False, False, False, False, False, False, False, True)",LEFT,9.9
"(False, False, False, False, False, False, True, False, False, True, False, True)",UP,8.5
"(False, False, False, False, False, False, False, False, False, False, True, True)",LEFT,9.9
"(False, False, False, False, False, False, False, False, False, True, True, False)",RIGHT,0.0
"(False, False, False, False, False, False, False, False, True, True, False, False)",UP,9.9
"(False, False, False, False, False, False, False, False, False, True, False, True)",UP,9.9
"(False, False, False, False, False, False, False, False, False, True, True, True)",DOWN,0.0
"(False, False, False, False, False, False, False, False, True, False, True, False)",UP,0.0
"(False, False, False, False, False, False, False, False, True, True, False, False)",RIGHT,0.0
"(False, False, False, False, False, False, False, False, False, False, False, True)",RIGHT,9.9
"(False, False, False, False, False, False, False, False, True, False, False, False)",RIGHT,9.81
"(False, False, False, False, False, False, False, False, True, True, False, False)",DOWN,9.9
"(False, False, False, False, True, False, False, False, False, True, True, False)",UP,0.0
"(False, False, False, False, False, False, False, False, False, True, True, True)",RIGHT,0.0
"(False, False, False, False, False, False, False, False, False, True, False, False)",LEFT,9.9
"(False, False, True, False, False, False, False, False, False, True, False, False)",UP,9.9
"(False, False, True, False, False, False, False, False, False, False, False, True)",UP,9.9
"(False, False, True, False, False, False, False, False, False, False, False, True)",RIGHT,9.9
"(False, False, False, False, True, False, False, False, True, False, False, True)",UP,9.9
"(False, False, False, False, False, False, False, False, False, False, False, True)",UP,9.9
"(True, False, False, False, False, False, False, False, False, False, False, True)",DOWN,0.0
