State,Action,Q_Value
"(False, False, False, False, False, False, False, False, True, False, False, False)",DOWN,26.801078996304447
"(False, False, False, False, False, False, False, False, False, False, True, False)",UP,-85.96197466452433
"(False, False, False, False, True, False, False, False, False, False, True, False)",LEFT,-11.81538692718971
"(False, False, False, False, True, False, False, False, False, True, False, False)",LEFT,3.6301294582683363
"(False, False, False, False, True, False, False, False, False, True, False, False)",RIGHT,-46.77372107363923
"(False, False, False, False, False, False, False, False, True, False, True, False)",LEFT,-87.1453237505516
"(False, False, False, False, False, False, False, False, False, True, False, False)",RIGHT,-86.2061232776966
"(True, False, False, False, False, False, False, False, True, True, False, False)",LEFT,-26.36
"(False, False, False, False, False, False, False, False, False, True, False, False)",LEFT,-8.316240031383268
"(False, False, False, False, False, False, False, False, False, True, False, False)",DOWN,-0.9536077730996615
"(False, False, False, False, False, False, False, False, False, False, False, True)",UP,0.3254733138182413
"(False, False, False, False, False, False, False, False, False, False, True, True)",LEFT,-100.6358839129216
"(False, False, False, False, False, False, False, False, False, True, True, False)",LEFT,-9.231057942340012
"(False, False, False, False, False, False, False, False, False, True, True, False)",DOWN,16.388544695247145
"(False, False, False, False, False, False, False, False, True, True, True, False)",UP,-243.7811203060812
"(False, False, False, False, False, False, False, False, False, True, False, True)",DOWN,-86.80547781873226
"(False, False, False, False, False, False, False, False, False, False, False, True)",LEFT,13.576772349735393
"(False, False, False, False, False, False, False, False, True, False, False, False)",UP,-47.98010965642026
"(False, False, False, False, False, False, False, False, False, False, True, False)",LEFT,-12.30877517678991
"(False, False, False, False, False, False, False, False, False, False, False, True)",RIGHT,-141.66907349247532
"(False, False, False, False, False, False, False, False, False, True, False, False)",UP,16.6005445909292
"(False, False, False, False, False, False, False, False, False, False, False, True)",DOWN,-86.86334124046347
"(False, False, False, False, False, False, False, False, False, False, True, False)",DOWN,40.993917623450756
"(False, False, False, False, False, False, False, False, False, True, False, True)",RIGHT,-92.98298853190133
"(False, False, False, False, False, False, False, False, True, True, False, False)",DOWN,25.20106026857685
"(False, False, False, False, False, False, False, False, True, False, True, False)",UP,-83.94920597702672
"(False, False, False, False, False, False, False, False, True, False, False, False)",LEFT,-89.55865596431575
"(False, False, False, False, False, False, False, False, True, True, False, False)",RIGHT,-129.10374845309673
"(False, False, True, False, False, False, False, False, True, False, False, True)",DOWN,-34.82809238303915
"(False, False, False, False, False, False, False, False, False, False, True, False)",RIGHT,-13.26524360574759
"(True, False, False, False, False, False, False, False, False, False, True, False)",RIGHT,11.426422882166483
"(True, False, False, False, False, False, False, False, True, False, False, False)",UP,8.956370848024989
"(False, False, False, False, False, False, False, False, False, False, True, True)",UP,-94.7411929687876
"(False, False, False, False, False, False, True, False, True, False, False, False)",RIGHT,24.46503822942789
"(False, False, True, False, False, False, False, False, True, False, False, False)",RIGHT,20.640723586221007
"(False, False, False, False, False, False, False, False, True, False, False, False)",RIGHT,-6.954624191895288
"(True, False, False, False, False, False, False, False, False, True, True, False)",LEFT,70.55047793704504
"(True, False, False, False, False, False, False, False, False, True, False, False)",RIGHT,-33.172842993223895
"(False, False, False, False, False, False, False, False, False, False, True, True)",DOWN,-102.65073623848906
"(True, False, False, False, False, False, False, False, False, False, False, True)",UP,16.683821359014154
"(True, False, False, False, False, False, False, False, False, False, False, True)",DOWN,-39.37390828757506
"(False, False, True, False, False, False, False, False, False, False, True, True)",RIGHT,-5.171060444957334
"(False, False, False, False, False, False, False, False, True, False, False, True)",DOWN,-85.79904838830586
"(False, False, False, False, False, False, False, False, False, True, True, True)",DOWN,-144.44094791662135
"(False, False, True, False, False, False, True, False, False, True, False, True)",DOWN,-26.36
"(False, False, False, False, False, False, True, False, True, False, False, False)",UP,7.820272585961909
"(False, False, False, False, False, False, True, False, False, False, False, True)",UP,6.2560140595495355
"(False, False, False, False, False, False, True, False, False, False, False, True)",RIGHT,12.040212424560748
"(False, False, False, False, False, False, False, False, False, False, True, True)",RIGHT,33.70739556169035
"(False, False, True, False, False, False, False, False, True, False, False, True)",UP,75.13155357426729
"(False, False, True, False, False, False, False, False, False, False, False, True)",UP,82.12868915835652
"(False, False, True, False, False, False, False, False, False, False, False, True)",LEFT,17.215728674445057
"(False, False, False, False, False, False, False, False, True, True, False, False)",UP,-130.29762584228422
"(False, False, False, False, False, False, False, False, True, False, False, True)",RIGHT,46.67441523435894
