State,Action,Q_Value
"(False, False, False, False, False, False, False, False, True, False, False, True)",WEST,191.74670109760126
"(False, False, False, False, False, False, False, False, False, True, False, True)",WEST,329.48100459581667
"(False, False, False, False, False, False, False, False, False, True, False, True)",NORTH,296.1192512476703
"(False, False, False, False, False, False, False, False, False, False, False, True)",NORTH,277.75173142512534
"(True, False, False, False, False, False, False, False, False, False, False, True)",EAST,51.12578040499754
"(True, False, False, False, False, False, False, False, True, True, False, False)",NORTH,61.365677890862074
"(False, False, False, False, True, False, False, False, False, True, False, True)",NORTH,323.2067020294167
"(False, False, False, False, False, False, False, False, False, True, False, True)",EAST,214.7753643210711
"(False, False, False, False, False, False, False, False, True, False, False, False)",NORTH,285.02768162193604
"(False, False, False, False, False, False, False, False, True, False, False, True)",SOUTH,195.1584110043125
"(False, False, False, False, False, False, False, False, True, True, False, True)",NORTH,327.95681787353345
"(False, False, False, False, False, False, False, False, True, True, False, True)",SOUTH,158.43490998521062
"(False, False, False, False, False, False, False, False, True, True, True, True)",NORTH,-1100.0
"(False, False, False, False, False, False, False, False, True, False, True, False)",NORTH,215.9862281155081
"(False, False, False, False, False, False, False, False, True, True, False, False)",NORTH,329.03946344053384
"(False, False, False, False, False, False, False, False, True, True, False, True)",EAST,177.07039234874642
"(False, False, False, False, False, False, False, False, True, False, True, False)",EAST,262.5890567523904
"(False, False, False, False, False, False, False, False, True, False, True, False)",SOUTH,343.2328902830388
"(False, False, False, False, False, False, False, False, False, False, True, False)",NORTH,215.86586189535524
"(False, False, False, False, False, False, False, False, False, True, False, True)",SOUTH,214.43479624869377
"(False, False, False, False, False, False, False, False, False, True, True, False)",NORTH,206.84767947345648
"(False, False, False, False, False, False, False, False, False, False, True, False)",SOUTH,298.59180057273585
"(False, False, False, False, True, False, False, False, False, False, True, False)",NORTH,23.804533466588992
"(False, False, False, False, False, False, False, False, True, False, False, False)",SOUTH,339.0024500515964
"(False, False, False, False, False, False, False, False, False, False, True, False)",EAST,345.5872147935821
"(False, False, False, False, False, False, False, False, True, False, False, False)",EAST,283.5329449589824
"(False, False, True, False, False, False, False, False, True, False, False, False)",NORTH,395.5515973456547
"(False, False, True, False, False, False, False, False, False, False, False, True)",NORTH,401.4691120929774
"(False, False, False, False, False, False, False, False, False, False, False, True)",SOUTH,193.03417441688023
"(False, False, True, False, False, False, False, False, False, True, False, True)",NORTH,395.05380568550225
"(False, False, False, False, False, False, False, False, False, False, False, True)",EAST,335.75995111335396
"(False, False, False, False, False, False, True, False, True, False, False, False)",NORTH,109.90730715822971
"(False, False, False, False, False, False, False, False, False, False, False, True)",WEST,274.0491574598971
"(False, False, False, False, False, False, False, False, False, True, False, False)",NORTH,330.4050770014527
"(False, False, False, False, False, False, False, False, True, False, False, False)",WEST,213.77958453039622
"(False, False, False, False, False, False, False, False, True, False, True, True)",NORTH,-184.98671459759245
"(True, False, False, False, False, False, False, False, False, False, False, True)",NORTH,55.586275575981574
"(False, False, False, False, False, False, False, False, False, True, False, False)",SOUTH,284.148562000412
"(True, False, False, False, False, False, False, False, False, True, True, False)",NORTH,131.79738990806615
"(False, False, False, False, True, False, False, False, True, True, True, False)",NORTH,0.0
"(False, False, False, False, False, False, False, False, False, True, True, False)",SOUTH,266.1611475754719
"(False, False, False, False, False, False, False, False, False, False, True, False)",WEST,305.0057433591342
"(False, False, False, False, False, False, False, False, False, True, False, False)",EAST,217.1603647145717
"(False, False, False, False, False, False, False, False, True, False, True, False)",WEST,213.17808233113072
"(False, False, False, False, False, False, False, False, True, False, False, True)",NORTH,329.63396822168875
"(False, False, False, False, False, False, False, False, False, True, False, False)",WEST,274.2722308420227
"(False, False, False, False, False, False, False, False, True, True, False, False)",SOUTH,106.45166125015322
"(True, False, False, False, False, False, False, False, False, False, True, False)",EAST,49.90727441882744
"(True, False, False, False, False, False, False, False, True, False, False, False)",NORTH,285.1305172930066
"(False, False, False, False, False, False, False, False, True, False, False, True)",EAST,159.16510190433593
"(False, False, False, False, False, False, False, False, False, True, True, False)",EAST,202.06474098737826
"(False, False, False, False, False, False, True, False, False, True, False, True)",NORTH,190.85126930590638
"(False, False, False, False, False, False, True, False, False, True, False, True)",SOUTH,148.53082380971526
"(True, False, False, False, False, False, False, False, False, True, True, False)",SOUTH,242.9482262737748
"(True, False, False, False, False, False, False, False, True, False, False, True)",NORTH,303.4405784860794
"(False, False, False, False, False, False, True, False, False, True, False, False)",NORTH,83.4619952175802
"(False, False, False, False, False, False, True, False, False, False, False, True)",NORTH,39.55529155057137
"(False, False, False, False, False, False, False, False, True, True, False, False)",EAST,139.45388437527066
"(False, False, True, False, False, False, False, False, True, False, False, False)",SOUTH,73.16662977787772
"(False, False, True, False, False, False, False, False, False, False, True, True)",NORTH,0.0
"(False, False, False, False, True, False, False, False, False, False, False, True)",NORTH,321.23833034176596
"(False, False, False, False, True, False, False, False, True, False, True, False)",NORTH,0.0
