State,Action,Q_Value
"(False, False, False, False, False, False, False, False, False, True, True, False)",WEST,-1.4718743639424812
"(False, False, False, False, False, False, False, False, True, True, False, False)",SOUTH,0.4785617515126505
"(False, False, False, False, False, False, False, False, True, False, True, False)",EAST,-1.8116445075373977
"(False, False, False, False, False, False, False, False, True, False, False, False)",NORTH,-1.5280055398614447
"(False, False, False, False, False, False, False, False, False, False, False, True)",NORTH,-0.9459719210542189
"(False, False, False, False, False, False, False, False, False, False, True, True)",SOUTH,-7.9996175224229065
"(False, False, False, False, False, False, False, False, True, False, False, True)",SOUTH,-7.905068199403344
"(False, False, False, False, False, False, False, False, True, False, True, False)",WEST,-9.253452786778393
"(False, False, False, False, False, False, False, False, False, False, True, True)",NORTH,-4.309996086762122
"(False, False, False, False, False, False, False, False, True, False, True, True)",WEST,-7.665220832822568
"(False, False, False, False, False, False, True, False, True, True, False, False)",NORTH,-0.3010778477382654
"(False, False, False, False, False, False, True, False, True, False, False, True)",EAST,12.662696574587507
"(False, False, False, False, False, False, False, False, True, False, False, True)",NORTH,-1.8703947638011937
"(False, False, False, False, False, False, False, False, False, False, False, True)",SOUTH,-7.981482842513379
"(False, False, False, False, True, False, False, False, False, False, True, True)",EAST,1.0171292354207464
"(False, False, False, False, True, False, False, False, True, False, True, False)",WEST,-2.0
"(False, False, True, False, False, False, False, False, False, True, False, True)",EAST,9.688446128426513
"(False, False, False, False, False, False, False, False, True, True, True, False)",WEST,-7.261855798248666
"(False, False, False, False, False, False, False, False, True, False, True, False)",SOUTH,0.7817988023264261
"(False, False, False, False, False, False, False, False, False, False, True, False)",WEST,0.8034714285579966
"(False, False, False, False, False, False, False, False, False, True, False, False)",NORTH,-0.28769219737288904
"(False, False, False, False, False, False, False, False, False, True, False, True)",NORTH,-2.7339728914353363
"(False, False, False, False, False, False, False, False, False, False, False, True)",WEST,-0.42034028555164826
"(False, False, False, False, False, False, False, False, False, True, False, False)",WEST,-1.5056572864779485
"(False, False, False, False, False, False, False, False, False, False, True, True)",EAST,2.2421019392717527
"(False, False, False, False, False, False, False, False, True, True, False, True)",SOUTH,-7.688431415049011
"(True, False, False, False, False, False, False, False, False, True, True, False)",WEST,56.679155504435286
"(False, False, False, False, True, False, False, False, False, False, False, True)",NORTH,2.255926845302923
"(False, False, False, False, False, False, False, False, True, True, True, False)",NORTH,-6.242152520676302
"(True, False, False, False, False, False, False, False, False, True, False, True)",WEST,69.91232823171646
"(False, False, False, False, False, False, False, False, False, True, False, True)",SOUTH,-6.661287970431545
"(False, False, False, False, False, False, True, False, True, True, False, True)",WEST,-2.0
"(False, False, False, False, False, False, True, False, True, False, False, True)",SOUTH,-2.6513190839559155
"(False, False, False, False, False, False, False, False, True, False, True, True)",EAST,5.935876752049343
"(False, False, False, False, False, False, False, False, True, True, True, False)",SOUTH,4.694676689784821
"(False, False, False, False, False, False, False, False, True, False, False, False)",WEST,-8.525861898454362
"(False, False, False, False, False, False, False, False, False, True, False, True)",EAST,-8.217305746096736
